=== exp_roof_030 | car->van | MODE=adversarial | AREA_FRAC=0.2 | IMG_SIZE=640 | ROT_DEG=20.0 | LR=0.03 | LOWER_TALL=0.6 | LOWER_WIDE=0.75 | ROOF_LEN=0.3 | ROOF_WID=0.7 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 155/160  total 10783.547  margin 4431.449  hinge 6351.416  tv 0.681  (487s)
  epoch 156/160  total 10865.226  margin 4455.434  hinge 6409.095  tv 0.698  (490s)
  epoch 157/160  total 10883.299  margin 4461.998  hinge 6420.615  tv 0.686  (493s)
  epoch 158/160  total 10850.702  margin 4458.510  hinge 6391.496  tv 0.695  (496s)
  epoch 159/160  total 10843.079  margin 4447.782  hinge 6394.614  tv 0.683  (499s)
  epoch 160/160  total 10828.750  margin 4452.411  hinge 6375.654  tv 0.685  (502s)
[save] patch_examples_exp_roof_030/universal_patch.png

Evaluating on 1360 images...
ROOF: roof_frac=0.0% n=11446
ROOFFIT: mean_realized_area=0.106 shrunk=99.9% n=11446

==== CAR->VAN — exp_roof_030 (patch = 20% of bbox) ====
eval images        : 1360
eligible (car clean): 9415   ambiguous (van@box in clean): 457
flipped to van      : 1550  (new-van, patch-induced: 1358)
lost entirely       : 2468  (hiding side-effect, NOT a flip)

targeted ASR (STRICT, excl 457 ambiguous): 0.152   <- HEADLINE
targeted ASR (new-van / all eligible)      : 0.144
targeted ASR (original, inflated)          : 0.165
lost rate   : 0.262
