Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep16/30 it100/809 loss 0.469 lr 0.00050
  ep16/30 it150/809 loss 0.556 lr 0.00050
  ep16/30 it200/809 loss 0.618 lr 0.00050
  ep16/30 it250/809 loss 0.572 lr 0.00050
  ep16/30 it300/809 loss 0.524 lr 0.00050
  ep16/30 it350/809 loss 0.403 lr 0.00050
  ep16/30 it400/809 loss 0.475 lr 0.00050
  ep16/30 it450/809 loss 0.646 lr 0.00050
  ep16/30 it500/809 loss 0.711 lr 0.00050
  ep16/30 it550/809 loss 0.521 lr 0.00050
  ep16/30 it600/809 loss 0.466 lr 0.00050
  ep16/30 it650/809 loss 0.602 lr 0.00050
  ep16/30 it700/809 loss 0.498 lr 0.00050
  ep16/30 it750/809 loss 0.479 lr 0.00050
  ep16/30 it800/809 loss 0.616 lr 0.00050
Epoch 16 done, avg loss 0.543
  ep17/30 it0/809 loss 0.429 lr 0.00045
  ep17/30 it50/809 loss 0.684 lr 0.00045
  ep17/30 it100/809 loss 0.586 lr 0.00045
  ep17/30 it150/809 loss 0.613 lr 0.00045
  ep17/30 it200/809 loss 0.642 lr 0.00045
  ep17/30 it250/809 loss 0.528 lr 0.00045
  ep17/30 it300/809 loss 0.572 lr 0.00045
  ep17/30 it350/809 loss 0.516 lr 0.00045
  ep17/30 it400/809 loss 0.526 lr 0.00045
  ep17/30 it450/809 loss 0.469 lr 0.00045
  ep17/30 it500/809 loss 0.413 lr 0.00045
  ep17/30 it550/809 loss 0.575 lr 0.00045
  ep17/30 it600/809 loss 0.565 lr 0.00045
  ep17/30 it650/809 loss 0.559 lr 0.00045
  ep17/30 it700/809 loss 0.564 lr 0.00045
  ep17/30 it750/809 loss 0.646 lr 0.00045
  ep17/30 it800/809 loss 0.438 lr 0.00045
Epoch 17 done, avg loss 0.535
  ep18/30 it0/809 loss 0.599 lr 0.00040
  ep18/30 it50/809 loss 0.603 lr 0.00040
  ep18/30 it100/809 loss 0.418 lr 0.00040
  ep18/30 it150/809 loss 0.449 lr 0.00040
  ep18/30 it200/809 loss 0.608 lr 0.00040
  ep18/30 it250/809 loss 0.609 lr 0.00040
  ep18/30 it300/809 loss 0.502 lr 0.00040
  ep18/30 it350/809 loss 0.568 lr 0.00040
